# HEGEL:: NS surface quantity file for 'WALL' patch
# x [m]  r [m]  qn [W/m^2]  p [Pa]  T [K]  tau_xx [Pa]  tau_xy [Pa]  tau_yy [Pa]
 -0.29998149E+00   0.23560976E-02   0.54636600E+05   0.83007318E+04   0.31006010E+03   0.20149586E+00  -0.21930254E+00  -0.99034861E-01
 -0.29990748E+00   0.70677115E-02   0.54629397E+05   0.82958754E+04   0.31005650E+03   0.17415412E+00  -0.65645710E+00  -0.71683561E-01
 -0.29975947E+00   0.11777581E-01   0.54632431E+05   0.82861981E+04   0.31004937E+03   0.11953114E+00  -0.10925039E+01  -0.17011982E-01
 -0.29953749E+00   0.16484546E-01   0.54614206E+05   0.82716044E+04   0.31004396E+03   0.37572043E-01  -0.15257073E+01   0.64966933E-01
 -0.29924161E+00   0.21187442E-01   0.54589785E+05   0.82521191E+04   0.31004022E+03  -0.71322175E-01  -0.19532462E+01   0.17388018E+00
 -0.29887189E+00   0.25885111E-01   0.54558779E+05   0.82278645E+04   0.31003564E+03  -0.20684635E+00  -0.23739784E+01   0.30942315E+00
 -0.29842844E+00   0.30576394E-01   0.54522981E+05   0.81989130E+04   0.31003028E+03  -0.36862587E+00  -0.27867179E+01   0.47123111E+00
 -0.29791135E+00   0.35260132E-01   0.54481626E+05   0.81653208E+04   0.31002437E+03  -0.55633925E+00  -0.31905679E+01   0.65897655E+00
 -0.29732075E+00   0.39935170E-01   0.54436381E+05   0.81271375E+04   0.31001792E+03  -0.76951888E+00  -0.35842633E+01   0.87220222E+00
 -0.29665680E+00   0.44600355E-01   0.54385989E+05   0.80844132E+04   0.31001227E+03  -0.10077888E+01  -0.39669109E+01   0.11105226E+01
 -0.29591965E+00   0.49254535E-01   0.54331680E+05   0.80372031E+04   0.31000743E+03  -0.12705637E+01  -0.43371558E+01   0.13733603E+01
 -0.29510949E+00   0.53896562E-01   0.54271899E+05   0.79855695E+04   0.31000083E+03  -0.15573464E+01  -0.46940116E+01   0.16602112E+01
 -0.29422651E+00   0.58525291E-01   0.54207941E+05   0.79295811E+04   0.30999245E+03  -0.18673760E+01  -0.50360162E+01   0.19703227E+01
 -0.29327094E+00   0.63139581E-01   0.54137830E+05   0.78693136E+04   0.30998338E+03  -0.22001673E+01  -0.53624539E+01   0.23031964E+01
 -0.29224300E+00   0.67738291E-01   0.54063661E+05   0.78048496E+04   0.30997359E+03  -0.25547364E+01  -0.56717104E+01   0.26578615E+01
 -0.29114296E+00   0.72320288E-01   0.53982916E+05   0.77362781E+04   0.30996313E+03  -0.29305941E+01  -0.59632611E+01   0.30338130E+01
 -0.28997109E+00   0.76884441E-01   0.53898029E+05   0.76636940E+04   0.30995197E+03  -0.33265379E+01  -0.62354131E+01   0.34298638E+01
 -0.28872767E+00   0.81429623E-01   0.53806131E+05   0.75871978E+04   0.30994010E+03  -0.37421084E+01  -0.64878553E+01   0.38455366E+01
 -0.28741301E+00   0.85954715E-01   0.53710012E+05   0.75068957E+04   0.30992751E+03  -0.41758642E+01  -0.67188272E+01   0.42794073E+01
 -0.28602743E+00   0.90458598E-01   0.53606452E+05   0.74228983E+04   0.30991419E+03  -0.46274168E+01  -0.69282510E+01   0.47310675E+01
 -0.28457128E+00   0.94940162E-01   0.53498613E+05   0.73353211E+04   0.30990012E+03  -0.50950652E+01  -0.71143088E+01   0.51988356E+01
 -0.28304492E+00   0.99398301E-01   0.53382922E+05   0.72442835E+04   0.30988529E+03  -0.55785386E+01  -0.72771695E+01   0.56824185E+01
 -0.28144872E+00   0.10383191E+00   0.53262918E+05   0.71499082E+04   0.30986969E+03  -0.60758583E+01  -0.74149734E+01   0.61798592E+01
 -0.27978308E+00   0.10823991E+00   0.53134666E+05   0.70523209E+04   0.30985334E+03  -0.65869224E+01  -0.75281423E+01   0.66910318E+01
 -0.27804840E+00   0.11262120E+00   0.53002089E+05   0.69516492E+04   0.30983620E+03  -0.71094605E+01  -0.76147929E+01   0.72136891E+01
 -0.27624512E+00   0.11697470E+00   0.52860886E+05   0.68480224E+04   0.30981829E+03  -0.76435925E+01  -0.76755959E+01   0.77479251E+01
