Run finished at Thu Aug 21 15:23:38 2025
Global runtime       = 1.66763e+06ms / 1667.63s
Number of processors = 1
# Rank: 0

                                                                      Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                    _GLOBAL |          1 |    1667634 |    1667634 |    1667634 |    1667634 |          1 |
                                                                    advance |     100000 |      32781 |         17 |          0 |          0 |     0.0197 |
                                                    advance/m2n.receiveData |       1000 |        169 |          0 |          0 |          0 |   0.000101 |
                                                       advance/m2n.sendData |       1000 |        156 |          0 |          0 |          0 |   9.35e-05 |
                    advance/map.nn.computeMapping.Fromhegel_wallToSolidMesh |          1 |         14 |         14 |         14 |         14 |    8.4e-06 |
 advance/map.nn.computeMapping.Fromhegel_wallToSolidMesh.getIndexOnVertices |          1 |          6 |          6 |          6 |          6 |    3.6e-06 |
                           advance/map.nn.mapData.Fromhegel_wallToSolidMesh |       1000 |         43 |          0 |          0 |          0 |   2.58e-05 |
                          advance/query.index.getVertexIndexTree.hegel_wall |          1 |          1 |          1 |          1 |          1 |      6e-07 |
                                                                  configure |          1 |          2 |          2 |          2 |          2 |    1.2e-06 |
                                                                   finalize |          1 |     126173 |     126173 |     126173 |     126173 |     0.0757 |
                                                                 initialize |          1 |        209 |        209 |        209 |        209 |   0.000125 |
                                      initialize/m2n.acceptMasterConnection |          1 |          6 |          6 |          6 |          6 |    3.6e-06 |
                                      initialize/m2n.acceptSlavesConnection |          1 |        102 |        102 |        102 |        102 |   6.12e-05 |
                                initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                        initialize/m2n.createCommunications |          2 |          5 |          3 |          2 |          2 |      3e-06 |
                                  initialize/m2n.exchangeVertexDistribution |          2 |         95 |         47 |         47 |         47 |    5.7e-05 |
                                  initialize/partition.gatherMesh.SolidMesh |          1 |          1 |          1 |          1 |          1 |      6e-07 |
                                 initialize/partition.prepareMesh.SolidMesh |          1 |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.hegel_wall |          1 |         94 |         94 |         94 |         94 |   5.64e-05 |
                              initialize/partition.sendGlobalMesh.SolidMesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                             initializeData |          1 |          0 |          0 |          0 |          0 |          0 |
                                                             solver.advance |     100000 |    1504283 |         35 |          0 |         15 |      0.902 |
                                                          solver.initialize |          1 |         33 |         33 |         33 |         33 |   1.98e-05 |


                                                                       Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
----------------------------------------------------------------------------------------------------------------------------------------------
                                                                    _GLOBAL | 1.66763e+06 |          0 | 1.66763e+06 |          0 |          1 |
                                                                    advance |         17 |          0 |          0 |          0 |          0 |
                                                    advance/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                       advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                    advance/map.nn.computeMapping.Fromhegel_wallToSolidMesh |         14 |          0 |         14 |          0 |          1 |
 advance/map.nn.computeMapping.Fromhegel_wallToSolidMesh.getIndexOnVertices |          6 |          0 |          6 |          0 |          1 |
                           advance/map.nn.mapData.Fromhegel_wallToSolidMesh |          0 |          0 |          0 |          0 |          0 |
                          advance/query.index.getVertexIndexTree.hegel_wall |          1 |          0 |          1 |          0 |          1 |
                                                                  configure |          2 |          0 |          2 |          0 |          1 |
                                                                   finalize |     126173 |          0 |     126173 |          0 |          1 |
                                                                 initialize |        209 |          0 |        209 |          0 |          1 |
                                      initialize/m2n.acceptMasterConnection |          6 |          0 |          6 |          0 |          1 |
                                      initialize/m2n.acceptSlavesConnection |        102 |          0 |        102 |          0 |          1 |
                                initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                       initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                        initialize/m2n.createCommunications |          3 |          0 |          2 |          0 |   0.666667 |
                                  initialize/m2n.exchangeVertexDistribution |         47 |          0 |         47 |          0 |          1 |
                                  initialize/partition.gatherMesh.SolidMesh |          1 |          0 |          1 |          0 |          1 |
                                 initialize/partition.prepareMesh.SolidMesh |          0 |          0 |          0 |          0 |          0 |
                          initialize/partition.receiveGlobalMesh.hegel_wall |         94 |          0 |         94 |          0 |          1 |
                              initialize/partition.sendGlobalMesh.SolidMesh |          0 |          0 |          0 |          0 |          0 |
                                                             initializeData |          0 |          0 |          0 |          0 |          0 |
                                                             solver.advance |         35 |          0 |          0 |          0 |          0 |
                                                          solver.initialize |         33 |          0 |         33 |          0 |          1 |
