# HEGEL:: NS fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  rho  p  T  H  M  u  v
  0.40000050E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30141301E+06   0.40000000E-03  -0.13889000E+00   0.13889000E+00
  0.40000151E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30141309E+06   0.12100000E-02  -0.42014225E+00   0.42014225E+00
  0.40000255E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30141325E+06   0.20402500E-02  -0.70842580E+00   0.70842580E+00
  0.40000361E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30141350E+06   0.28912562E-02  -0.10039164E+01   0.10039164E+01
  0.40000470E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30141385E+06   0.37635377E-02  -0.13067944E+01   0.13067944E+01
  0.40000582E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30141431E+06   0.46576261E-02  -0.16172442E+01   0.16172442E+01
  0.40000697E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30141487E+06   0.55740668E-02  -0.19354553E+01   0.19354553E+01
  0.40000814E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30141556E+06   0.65134184E-02  -0.22616217E+01   0.22616217E+01
  0.40000935E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30141637E+06   0.74762539E-02  -0.25959422E+01   0.25959422E+01
  0.40001058E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30141732E+06   0.84631602E-02  -0.29386208E+01   0.29386208E+01
  0.40001184E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30141841E+06   0.94747392E-02  -0.32898663E+01   0.32898663E+01
  0.40001314E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30141966E+06   0.10511608E-01  -0.36498930E+01   0.36498930E+01
  0.40001447E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30142108E+06   0.11574398E-01  -0.40189203E+01   0.40189203E+01
  0.40001583E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30142267E+06   0.12663758E-01  -0.43971733E+01   0.43971733E+01
  0.40001723E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30142445E+06   0.13780352E-01  -0.47848826E+01   0.47848826E+01
  0.40001866E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30142643E+06   0.14924861E-01  -0.51822847E+01   0.51822847E+01
  0.40002012E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30142862E+06   0.16097982E-01  -0.55896218E+01   0.55896218E+01
  0.40002163E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30143104E+06   0.17300432E-01  -0.60071424E+01   0.60071424E+01
  0.40002317E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30143371E+06   0.18532942E-01  -0.64351009E+01   0.64351009E+01
  0.40002475E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30143662E+06   0.19796266E-01  -0.68737584E+01   0.68737584E+01
  0.40002636E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30143982E+06   0.21091173E-01  -0.73233824E+01   0.73233824E+01
  0.40002802E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30144330E+06   0.22418452E-01  -0.77842470E+01   0.77842470E+01
  0.40002972E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30144709E+06   0.23778913E-01  -0.82566331E+01   0.82566331E+01
  0.40003147E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30145120E+06   0.25173386E-01  -0.87408290E+01   0.87408290E+01
  0.40003325E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30145566E+06   0.26602721E-01  -0.92371297E+01   0.92371297E+01
  0.40003508E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30146049E+06   0.28067789E-01  -0.97458379E+01   0.97458379E+01
  0.40003696E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30146571E+06   0.29569484E-01  -0.10267264E+02   0.10267264E+02
  0.40003889E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30147134E+06   0.31108721E-01  -0.10801725E+02   0.10801725E+02
  0.40004086E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30147741E+06   0.32686439E-01  -0.11349549E+02   0.11349549E+02
  0.40004288E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30148394E+06   0.34303600E-01  -0.11911067E+02   0.11911067E+02
  0.40004495E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30149096E+06   0.35961190E-01  -0.12486624E+02   0.12486624E+02
  0.40004708E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30149850E+06   0.37660219E-01  -0.13076570E+02   0.13076570E+02
  0.40004925E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30150659E+06   0.39401725E-01  -0.13681264E+02   0.13681264E+02
  0.40005148E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30151526E+06   0.41186768E-01  -0.14301075E+02   0.14301075E+02
  0.40005377E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30152455E+06   0.43016437E-01  -0.14936382E+02   0.14936382E+02
  0.40005611E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30153449E+06   0.44891848E-01  -0.15587572E+02   0.15587572E+02
  0.40005852E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30154511E+06   0.46814144E-01  -0.16255041E+02   0.16255041E+02
  0.40006098E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30155647E+06   0.48784498E-01  -0.16939197E+02   0.16939197E+02
  0.40006351E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30156859E+06   0.50804110E-01  -0.17640457E+02   0.17640457E+02
  0.40006609E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30158153E+06   0.52874213E-01  -0.18359249E+02   0.18359249E+02
  0.40006875E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30159533E+06   0.54996068E-01  -0.19096010E+02   0.19096010E+02
  0.40007146E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30161003E+06   0.57170970E-01  -0.19851190E+02   0.19851190E+02
  0.40007425E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30162570E+06   0.59400244E-01  -0.20625250E+02   0.20625250E+02
  0.40007711E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30164238E+06   0.61685250E-01  -0.21418661E+02   0.21418661E+02
  0.40008003E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30166013E+06   0.64027382E-01  -0.22231908E+02   0.22231908E+02
  0.40008304E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30167901E+06   0.66428066E-01  -0.23065485E+02   0.23065485E+02
  0.40008611E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30169908E+06   0.68888768E-01  -0.23919902E+02   0.23919902E+02
  0.40008926E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30172041E+06   0.71410987E-01  -0.24795680E+02   0.24795680E+02
  0.40009250E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30174307E+06   0.73996262E-01  -0.25693352E+02   0.25693352E+02
  0.40009581E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30176714E+06   0.76646168E-01  -0.26613466E+02   0.26613466E+02
  0.40009920E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30179268E+06   0.79362323E-01  -0.27556582E+02   0.27556582E+02
  0.40010268E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30181979E+06   0.82146381E-01  -0.28523277E+02   0.28523277E+02
  0.40010625E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30184854E+06   0.85000040E-01  -0.29514139E+02   0.29514139E+02
  0.40010991E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30187903E+06   0.87925041E-01  -0.30529772E+02   0.30529772E+02
  0.40011365E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30191136E+06   0.90923167E-01  -0.31570797E+02   0.31570797E+02
  0.40011750E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30194561E+06   0.93996246E-01  -0.32637847E+02   0.32637847E+02
  0.40012143E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30198191E+06   0.97146152E-01  -0.33731573E+02   0.33731573E+02
  0.40012547E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30202035E+06   0.10037481E+00  -0.34852642E+02   0.34852642E+02
  0.40012961E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30206106E+06   0.10368418E+00  -0.36001738E+02   0.36001738E+02
  0.40013385E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30210416E+06   0.10707628E+00  -0.37179562E+02   0.37179562E+02
  0.40013819E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30214977E+06   0.11055319E+00  -0.38386831E+02   0.38386831E+02
  0.40014265E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30219804E+06   0.11411702E+00  -0.39624281E+02   0.39624281E+02
  0.40014721E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30224911E+06   0.11776994E+00  -0.40892668E+02   0.40892668E+02
  0.40015189E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30230311E+06   0.12151419E+00  -0.42192765E+02   0.42192765E+02
  0.40015669E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30236023E+06   0.12535205E+00  -0.43525364E+02   0.43525364E+02
  0.40016161E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30242061E+06   0.12928585E+00  -0.44891278E+02   0.44891278E+02
  0.40016665E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30248444E+06   0.13331799E+00  -0.46291340E+02   0.46291340E+02
  0.40017181E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30255190E+06   0.13745094E+00  -0.47726404E+02   0.47726404E+02
  0.40017711E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30262319E+06   0.14168722E+00  -0.49197344E+02   0.49197344E+02
  0.40018254E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30269850E+06   0.14602940E+00  -0.50705057E+02   0.50705057E+02
