# HEGEL:: NS_NLTE fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  X_em  X_N  X_O  X_C  X_N2  X_NO  X_O2  X_CO  X_CO2  X_CN  X_C2  X_C3  X_N2p  X_NOp  X_Np  X_O2p  X_Op  X_COp  X_CNp  X_Cp  Th  Tve  rho  p  H  Mf  u  v
  0.40000050E+00   0.52408151E-10   0.35187278E-13   0.29799096E-02   0.22800660E-21   0.77975539E+00   0.65874169E-02   0.19759973E+00   0.12712264E-01   0.36527168E-03   0.30929696E-15   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.14498666E-07   0.00000000E+00   0.75444823E-22   0.00000000E+00   0.11851337E-14   0.00000000E+00   0.80332651E-13   0.26782507E+03   0.94268622E+03   0.31280653E+00   0.24199667E+05   0.29671357E+06   0.38851272E-05   0.12788219E-02   0.78104379E+01
  0.40000151E+00   0.92609764E-10   0.55883182E-13   0.30697143E-02   0.77647406E-22   0.77972095E+00   0.66254527E-02   0.19755124E+00   0.12664793E-01   0.36783622E-03   0.16432097E-15   0.21172242E-20   0.00000000E+00   0.10553121E-23   0.82811429E-08   0.65800290E-23   0.36606391E-22   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.41221451E-13   0.28073682E+03   0.95049715E+03   0.29847967E+00   0.24205492E+05   0.31176846E+06   0.37611444E-05   0.12675347E-02   0.15425650E+02
  0.40000255E+00   0.16239256E-09   0.71487454E-13   0.31586875E-02   0.29859393E-22   0.77968790E+00   0.66630270E-02   0.19750314E+00   0.12617262E-01   0.36998233E-03   0.74828690E-16   0.00000000E+00   0.00000000E+00   0.10059711E-22   0.47843831E-08   0.16573129E-23   0.76171443E-22   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.19281741E-13   0.29350457E+03   0.95814275E+03   0.28541328E+00   0.24199490E+05   0.32666700E+06   0.35431390E-05   0.12209467E-02   0.22954144E+02
  0.40000361E+00   0.27196359E-09   0.84073944E-13   0.32469785E-02   0.10458349E-22   0.77965609E+00   0.67002156E-02   0.19745533E+00   0.12569629E-01   0.37175578E-03   0.28578437E-16   0.00000000E+00   0.00000000E+00   0.42713532E-22   0.29143443E-08   0.12110366E-23   0.71728884E-22   0.12947457E-22   0.14333072E-15   0.25998434E-15   0.75729056E-14   0.30615396E+03   0.96564375E+03   0.27364652E+00   0.24202728E+05   0.34143769E+06   0.32050635E-05   0.11280245E-02   0.30410676E+02
  0.40000470E+00   0.41609479E-09   0.94754920E-13   0.33348053E-02   0.21233897E-23   0.77962528E+00   0.67371174E-02   0.19740771E+00   0.12521898E-01   0.37319552E-03   0.60327769E-17   0.38496530E-24   0.00000000E+00   0.11792054E-22   0.19621787E-08   0.00000000E+00   0.56846062E-22   0.80705730E-23   0.14459391E-15   0.11764071E-15   0.16547363E-14   0.31871688E+03   0.97302331E+03   0.26279971E+00   0.24198129E+05   0.35611656E+06   0.27425992E-05   0.98488985E-03   0.37813838E+02
  0.40000582E+00   0.56140393E-09   0.10420392E-12   0.34223016E-02   0.00000000E+00   0.77959533E+00   0.67737965E-02   0.19736019E+00   0.12474047E-01   0.37433209E-03   0.00000000E+00   0.58839236E-23   0.00000000E+00   0.14296586E-22   0.15134243E-08   0.12978982E-23   0.72055268E-22   0.59020461E-22   0.24469660E-15   0.35089999E-15   0.00000000E+00   0.33121449E+03   0.98029752E+03   0.25289958E+00   0.24200625E+05   0.37072752E+06   0.21490260E-05   0.78673770E-03   0.45175820E+02
  0.40000697E+00   0.69272067E-09   0.11283482E-12   0.35095157E-02   0.00000000E+00   0.77956624E+00   0.68102829E-02   0.19731275E+00   0.12426024E-01   0.37518959E-03   0.00000000E+00   0.17484847E-22   0.00000000E+00   0.00000000E+00   0.12870502E-08   0.11264620E-22   0.87901011E-22   0.00000000E+00   0.30183122E-15   0.35644213E-15   0.00000000E+00   0.34365718E+03   0.98747596E+03   0.24369734E+00   0.24197067E+05   0.38528239E+06   0.14257892E-05   0.53169490E-03   0.52502397E+02
  0.40000814E+00   0.80233830E-09   0.12090621E-12   0.35965368E-02   0.00000000E+00   0.77953791E+00   0.68466200E-02   0.19726534E+00   0.12377802E-01   0.37578932E-03   0.00000000E+00   0.17752150E-22   0.00000000E+00   0.42959536E-23   0.11727152E-08   0.00000000E+00   0.61028370E-22   0.00000000E+00   0.43001534E-15   0.53674593E-15   0.00000000E+00   0.35605969E+03   0.99457016E+03   0.23521872E+00   0.24199066E+05   0.39979762E+06   0.56533213E-06   0.21459540E-03   0.59801960E+02
  0.40000935E+00   0.88925295E-09   0.12863695E-12   0.36834946E-02   0.00000000E+00   0.77951021E+00   0.68828687E-02   0.19721789E+00   0.12329372E-01   0.37615988E-03   0.00000000E+00   0.20976507E-22   0.00000000E+00   0.12724633E-22   0.11202713E-08   0.73557739E-23   0.14717255E-21   0.00000000E+00   0.56541724E-15   0.69561379E-15   0.00000000E+00   0.36844176E+03   0.10015942E+04   0.22727837E+00   0.24196263E+05   0.41429562E+06   0.42912339E-06  -0.16570394E-03   0.67085824E+02
  0.40001058E+00   0.95763994E-09   0.13623282E-12   0.37704566E-02   0.19610843E-24   0.77948307E+00   0.69190682E-02   0.19717036E+00   0.12280708E-01   0.37633378E-03   0.00000000E+00   0.28881870E-21   0.34979658E-21   0.65093104E-23   0.11027927E-08   0.79728674E-24   0.10120205E-21   0.92714793E-23   0.72166689E-15   0.88091852E-15   0.00000000E+00   0.38081663E+03   0.10085585E+04   0.21989890E+00   0.24197907E+05   0.42879125E+06   0.15692143E-05  -0.61605195E-03   0.74361384E+02
  0.40001184E+00   0.10128985E-08   0.14384861E-12   0.38574359E-02   0.18604275E-23   0.77945648E+00   0.69552359E-02   0.19712274E+00   0.12231761E-01   0.37633715E-03   0.15686827E-19   0.51215963E-21   0.25876688E-20   0.20545441E-22   0.11052115E-08   0.45870855E-24   0.90764968E-22   0.19842911E-22   0.88002332E-15   0.10685177E-14   0.00000000E+00   0.39319066E+03   0.10154696E+04   0.21294980E+00   0.24195624E+05   0.44329152E+06   0.28477803E-05  -0.11360466E-02   0.81631986E+02
  0.40001314E+00   0.10595076E-08   0.15161431E-12   0.39444777E-02   0.11394750E-22   0.77943041E+00   0.69913993E-02   0.19707502E+00   0.12182504E-01   0.37619160E-03   0.26682775E-19   0.10902968E-20   0.17688130E-20   0.18974287E-22   0.11190848E-08   0.12838889E-24   0.96366827E-22   0.98024485E-23   0.10320017E-14   0.12485665E-14   0.00000000E+00   0.40557330E+03   0.10223354E+04   0.20645154E+00   0.24196997E+05   0.45780705E+06   0.42820337E-05  -0.17349373E-02   0.88902833E+02
  0.40001447E+00   0.11005942E-08   0.15964955E-12   0.40316714E-02   0.55103546E-22   0.77940476E+00   0.70276000E-02   0.19702713E+00   0.12132926E-01   0.37591471E-03   0.33446911E-19   0.34588860E-22   0.45911950E-23   0.38992301E-23   0.11396908E-08   0.00000000E+00   0.11413255E-21   0.15269367E-22   0.11732190E-14   0.14162553E-14   0.00000000E+00   0.41797806E+03   0.10291658E+04   0.20030075E+00   0.24195116E+05   0.47235340E+06   0.58600729E-05  -0.24104038E-02   0.96181592E+02
  0.40001583E+00   0.11381787E-08   0.16806675E-12   0.41190716E-02   0.22564884E-21   0.77937948E+00   0.70638661E-02   0.19697905E+00   0.12083011E-01   0.37552108E-03   0.39918980E-19   0.88032483E-21   0.49250734E-20   0.00000000E+00   0.11643173E-08   0.56895352E-24   0.97337164E-22   0.10124073E-23   0.13019838E-14   0.15697652E-14   0.00000000E+00   0.43041427E+03   0.10359683E+04   0.19451478E+00   0.24196285E+05   0.48694119E+06   0.76050355E-05  -0.31744293E-02   0.10347344E+03
  0.40001723E+00   0.11735074E-08   0.17697728E-12   0.42066886E-02   0.85731230E-21   0.77935458E+00   0.71002089E-02   0.19693077E+00   0.12032727E-01   0.37502306E-03   0.45294987E-19   0.11227882E-22   0.00000000E+00   0.11681758E-24   0.11913708E-08   0.38794292E-23   0.42453086E-22   0.45021040E-23   0.14183811E-14   0.17091901E-14   0.00000000E+00   0.44288609E+03   0.10427475E+04   0.18901702E+00   0.24194697E+05   0.50157526E+06   0.95000102E-05  -0.40225576E-02   0.11078054E+03
  0.40001866E+00   0.12073644E-08   0.18650305E-12   0.42945570E-02   0.29042715E-20   0.77933003E+00   0.71366476E-02   0.19688228E+00   0.11982055E-01   0.37443103E-03   0.49310139E-19   0.76817415E-23   0.00000000E+00   0.00000000E+00   0.12199226E-08   0.19194348E-24   0.61579964E-22   0.78765472E-23   0.15235528E-14   0.18357734E-14   0.00000000E+00   0.45540008E+03   0.10495091E+04   0.18382305E+00   0.24195701E+05   0.51626325E+06   0.11574075E-04  -0.49696541E-02   0.11810644E+03
