# HEGEL:: NS_NLTE fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  X_em  X_N  X_O  X_C  X_N2  X_NO  X_O2  X_CO  X_CO2  X_CN  X_C2  X_C3  X_N2p  X_NOp  X_Np  X_O2p  X_Op  X_COp  X_CNp  X_Cp  Th  Tve  rho  p  H  Mf  u  v
  0.40000050E+00   0.75892679E-10   0.40714536E-13   0.38401314E-02   0.10073897E-21   0.78130384E+00   0.60927477E-02   0.19854152E+00   0.99823218E-02   0.23942300E-03   0.11040858E-15   0.48437042E-19   0.54032976E-19   0.90415895E-23   0.11704029E-07   0.98550272E-24   0.10946531E-21   0.10224816E-22   0.00000000E+00   0.00000000E+00   0.39100920E-13   0.30410085E+03   0.63661222E+03   0.27536651E+00   0.24196668E+05   0.32425188E+06   0.30289671E-05   0.10626157E-02   0.70874200E+01
  0.40000151E+00   0.14389598E-09   0.66621282E-13   0.39182219E-02   0.26314115E-22   0.78126992E+00   0.61291731E-02   0.19849450E+00   0.99470176E-02   0.24116502E-03   0.45955869E-16   0.00000000E+00   0.00000000E+00   0.76870057E-23   0.62270431E-08   0.10341649E-23   0.80647641E-22   0.12902250E-22   0.00000000E+00   0.00000000E+00   0.16013466E-13   0.31554550E+03   0.65735850E+03   0.26541482E+00   0.24200784E+05   0.33789394E+06   0.29149076E-05   0.10416896E-02   0.14054614E+02
  0.40000255E+00   0.25927102E-09   0.87090751E-13   0.39962978E-02   0.60271095E-23   0.78123657E+00   0.61654686E-02   0.19844741E+00   0.99115929E-02   0.24265400E-03   0.12884107E-16   0.00000000E+00   0.00000000E+00   0.24092244E-23   0.35061475E-08   0.00000000E+00   0.12986624E-21   0.11330688E-22   0.00000000E+00   0.00000000E+00   0.45993869E-14   0.32695779E+03   0.67647772E+03   0.25610078E+00   0.24196938E+05   0.35150432E+06   0.27101615E-05   0.98590088E-03   0.21000040E+02
  0.40000361E+00   0.41513494E-09   0.10407783E-12   0.40743834E-02   0.00000000E+00   0.78120379E+00   0.62016562E-02   0.19840025E+00   0.98760138E-02   0.24390854E-03   0.00000000E+00   0.26133599E-23   0.00000000E+00   0.53583408E-23   0.22403647E-08   0.37323471E-23   0.14828211E-21   0.00000000E+00   0.19493421E-15   0.00000000E+00   0.00000000E+00   0.33834514E+03   0.69430017E+03   0.24749899E+00   0.24199522E+05   0.36509120E+06   0.23988485E-05   0.88773792E-03   0.27927885E+02
  0.40000470E+00   0.57827581E-09   0.11863342E-12   0.41525014E-02   0.00000000E+00   0.78117156E+00   0.62377564E-02   0.19835298E+00   0.98402487E-02   0.24494469E-03   0.00000000E+00   0.75682929E-23   0.00000000E+00   0.30501385E-23   0.16609702E-08   0.00000000E+00   0.24253667E-21   0.19054718E-23   0.13263194E-15   0.17331607E-15   0.00000000E+00   0.34971417E+03   0.71106262E+03   0.23941248E+00   0.24196308E+05   0.37866160E+06   0.19776808E-05   0.74408849E-03   0.34841855E+02
  0.40000582E+00   0.73228334E-09   0.13143216E-12   0.42307515E-02   0.00000000E+00   0.78113979E+00   0.62738198E-02   0.19830556E+00   0.98042969E-02   0.24577763E-03   0.00000000E+00   0.34976321E-23   0.00000000E+00   0.76252932E-23   0.13659623E-08   0.10220554E-22   0.32939334E-21   0.97867259E-23   0.28137429E-15   0.35134525E-15   0.00000000E+00   0.36108027E+03   0.72695365E+03   0.23188816E+00   0.24198429E+05   0.39223532E+06   0.14405119E-05   0.55073200E-03   0.41751086E+02
  0.40000697E+00   0.86294077E-09   0.14301217E-12   0.43092219E-02   0.00000000E+00   0.78110836E+00   0.63098982E-02   0.19825793E+00   0.97681516E-02   0.24643498E-03   0.00000000E+00   0.11399568E-23   0.00000000E+00   0.76655174E-23   0.12148856E-08   0.14147917E-23   0.59512663E-21   0.89216558E-23   0.33269555E-15   0.41844124E-15   0.00000000E+00   0.37245892E+03   0.74212007E+03   0.22477133E+00   0.24195801E+05   0.40582846E+06   0.78734756E-06   0.30572936E-03   0.48664605E+02
  0.40000814E+00   0.96508619E-09   0.15375554E-12   0.43879145E-02   0.51293117E-25   0.78107727E+00   0.63460063E-02   0.19821009E+00   0.97317806E-02   0.24693893E-03   0.00000000E+00   0.11020715E-21   0.49363661E-21   0.59810124E-23   0.11430987E-08   0.54263291E-23   0.54094478E-21   0.57059356E-23   0.48148441E-15   0.59631914E-15   0.00000000E+00   0.38385534E+03   0.75666553E+03   0.21810602E+00   0.24197577E+05   0.41944779E+06   0.10330934E-07   0.40725344E-05   0.55585125E+02
  0.40000935E+00   0.10329322E-08   0.16394754E-12   0.44668305E-02   0.18821507E-23   0.78104652E+00   0.63821567E-02   0.19816203E+00   0.96951539E-02   0.24730796E-03   0.43460281E-20   0.89035416E-22   0.47598702E-22   0.85918729E-23   0.11257180E-08   0.37237453E-23   0.65288228E-20   0.00000000E+00   0.68822005E-15   0.83832664E-15   0.00000000E+00   0.39527397E+03   0.77067292E+03   0.21177832E+00   0.24195376E+05   0.43309711E+06   0.88837776E-06  -0.35538424E-03   0.62514946E+02
  0.40001058E+00   0.10805296E-08   0.17381572E-12   0.45460082E-02   0.11642131E-22   0.78101607E+00   0.64183756E-02   0.19811373E+00   0.96582554E-02   0.24755778E-03   0.24281986E-19   0.12883288E-22   0.21447856E-22   0.10478771E-22   0.11342322E-08   0.32607371E-23   0.00000000E+00   0.00000000E+00   0.89596376E-15   0.10822528E-14   0.00000000E+00   0.40672306E+03   0.78421482E+03   0.20582209E+00   0.24196892E+05   0.44678779E+06   0.19204532E-05  -0.77931769E-03   0.69458722E+02
