# HEGEL:: NS_NLTE fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  X_em  X_N  X_O  X_C  X_N2  X_NO  X_O2  X_CO  X_CO2  X_CN  X_C2  X_C3  X_N2p  X_NOp  X_Np  X_O2p  X_Op  X_COp  X_CNp  X_Cp  Th  Tve  rho  p  H  Mf  u  v
  0.40000050E+00   0.52562542E-09   0.15589736E-12   0.76397175E-02   0.89688279E-25   0.78606347E+00   0.49723559E-02   0.20132446E+00   0.87007049E-13   0.19545529E-13   0.55589691E-18   0.12732598E-17   0.12802932E-17   0.33343280E-13   0.12759388E-08   0.58640763E-13   0.15576900E-12   0.12128416E-12   0.00000000E+00   0.00000000E+00   0.15245566E-15   0.30324812E+03   0.64332039E+03   0.27575549E+00   0.24197035E+05   0.39575606E+06   0.55579161E-07  -0.19488799E-04   0.71023605E+01
  0.40000151E+00   0.67563348E-09   0.18464584E-12   0.76959886E-02   0.00000000E+00   0.78601673E+00   0.50108494E-02   0.20127643E+00   0.16301720E-12   0.32605391E-13   0.00000000E+00   0.25397472E-18   0.25915189E-18   0.12972458E-13   0.10494434E-08   0.12597024E-13   0.16630402E-12   0.75033987E-13   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.31480187E+03   0.66324978E+03   0.26567333E+00   0.24201210E+05   0.40919674E+06   0.19610806E-06  -0.70064096E-04   0.14079545E+02
  0.40000255E+00   0.76921589E-09   0.19071353E-12   0.77529984E-02   0.00000000E+00   0.78597014E+00   0.50491879E-02   0.20122768E+00   0.23736775E-12   0.44379651E-13   0.00000000E+00   0.31670643E-19   0.42671797E-19   0.48588287E-14   0.98108119E-09   0.19573842E-14   0.14584846E-12   0.51770451E-13   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.32631064E+03   0.68169366E+03   0.25625444E+00   0.24197281E+05   0.42259440E+06   0.43067558E-06  -0.15665879E-03   0.21031670E+02
  0.40000361E+00   0.82908813E-09   0.19419088E-12   0.78107047E-02   0.18467137E-26   0.78592366E+00   0.50873982E-02   0.20117824E+00   0.31120138E-12   0.55472604E-13   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.13490073E-14   0.97046415E-09   0.59729504E-16   0.12647254E-12   0.37585514E-13   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.33778299E+03   0.69894129E+03   0.24757063E+00   0.24199877E+05   0.43595888E+06   0.76701206E-06  -0.28386875E-03   0.27963233E+02
  0.40000470E+00   0.87294149E-09   0.19833114E-12   0.78690734E-02   0.49216103E-28   0.78587728E+00   0.51255049E-02   0.20112814E+00   0.38490623E-12   0.66100863E-13   0.00000000E+00   0.00000000E+00   0.41936193E-23   0.11978163E-15   0.98202148E-09   0.00000000E+00   0.11028295E-12   0.27886886E-13   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.34922651E+03   0.71520322E+03   0.23941902E+00   0.24196614E+05   0.44929906E+06   0.12050119E-05  -0.45347061E-03   0.34878202E+02
  0.40000582E+00   0.90981751E-09   0.20313562E-12   0.79281328E-02   0.00000000E+00   0.78583095E+00   0.51635643E-02   0.20107735E+00   0.45859782E-12   0.76377845E-13   0.00000000E+00   0.00000000E+00   0.35366142E-22   0.00000000E+00   0.10023421E-08   0.00000000E+00   0.95972308E-13   0.20839465E-13   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.36065740E+03   0.73064998E+03   0.23184431E+00   0.24198734E+05   0.46263114E+06   0.17533253E-05  -0.67053571E-03   0.41785876E+02
  0.40000697E+00   0.94405443E-09   0.20862173E-12   0.79878881E-02   0.00000000E+00   0.78578459E+00   0.52016355E-02   0.20102588E+00   0.53229549E-12   0.86371373E-13   0.00000000E+00   0.00000000E+00   0.17066964E-22   0.00000000E+00   0.10258883E-08   0.00000000E+00   0.83053187E-13   0.15549347E-13   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.37209242E+03   0.74541633E+03   0.22468808E+00   0.24196081E+05   0.47597684E+06   0.24089443E-05  -0.93577633E-03   0.48695673E+02
  0.40000814E+00   0.97750420E-09   0.21481261E-12   0.80482891E-02   0.10826835E-24   0.78573821E+00   0.52397380E-02   0.20097377E+00   0.60603201E-12   0.96113291E-13   0.00000000E+00   0.00000000E+00   0.82552994E-23   0.00000000E+00   0.10504094E-08   0.00000000E+00   0.71402784E-13   0.11512734E-13   0.00000000E+00   0.47369881E-15   0.00000000E+00   0.38353794E+03   0.75959773E+03   0.21799239E+00   0.24197851E+05   0.48933996E+06   0.31839822E-05  -0.12557485E-02   0.55610725E+02
  0.40000935E+00   0.10108500E-08   0.22173832E-12   0.81092902E-02   0.24613167E-23   0.78569179E+00   0.52778874E-02   0.20092103E+00   0.67981946E-12   0.10562179E-12   0.12243398E-19   0.30054258E-23   0.40057369E-23   0.00000000E+00   0.10751042E-08   0.00000000E+00   0.60984527E-13   0.84069391E-14   0.82834394E-15   0.10352603E-14   0.00000000E+00   0.39499904E+03   0.77327058E+03   0.21164149E+00   0.24195638E+05   0.50272861E+06   0.40725250E-05  -0.16300380E-02   0.62533454E+02
  0.40001058E+00   0.10444952E-08   0.22944183E-12   0.81708799E-02   0.15127465E-22   0.78564531E+00   0.53161133E-02   0.20086770E+00   0.75363302E-12   0.11491224E-12   0.17005030E-19   0.00000000E+00   0.19559496E-23   0.00000000E+00   0.10995781E-08   0.00000000E+00   0.51740675E-13   0.60035989E-14   0.10599255E-14   0.12883185E-14   0.00000000E+00   0.40648448E+03   0.78650235E+03   0.20566798E+00   0.24197146E+05   0.51615061E+06   0.50907567E-05  -0.20670379E-02   0.69468588E+02
