# HEGEL:: NS_NLTE fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  X_em  X_N  X_O  X_C  X_N2  X_NO  X_O2  X_CO  X_CO2  X_CN  X_C2  X_C3  X_N2p  X_NOp  X_Np  X_O2p  X_Op  X_COp  X_CNp  X_Cp  Th  Tve  rho  p  H  Mf  u  v
  0.40000050E+00   0.10356753E-10   0.50000445E-13   0.97936837E-04   0.25392055E-27   0.79263338E+00   0.61229986E-04   0.20720746E+00   0.19856420E-14   0.11238580E-14   0.10045596E-19   0.69659044E-18   0.84055684E-18   0.00000000E+00   0.36007504E-10   0.15879783E-23   0.12457248E-22   0.15982840E-23   0.71032283E-16   0.84774480E-16   0.37018235E-24   0.30429327E+03   0.67194006E+03   0.27579462E+00   0.24196075E+05   0.31785771E+06   0.64303839E-07  -0.22536316E-04   0.71085522E+01
  0.40000151E+00   0.22516336E-10   0.90107418E-13   0.19404499E-03   0.11282956E-27   0.79256019E+00   0.12139376E-03   0.20712437E+00   0.28960751E-14   0.16116422E-14   0.30546483E-20   0.13061611E-18   0.13202648E-18   0.44149112E-24   0.67835762E-10   0.10407755E-23   0.14258105E-22   0.37397075E-23   0.11566215E-15   0.13793873E-15   0.16650925E-23   0.31559443E+03   0.69204124E+03   0.26595061E+00   0.24200129E+05   0.33158613E+06   0.22137100E-06  -0.79012882E-04   0.14098074E+02
  0.40000255E+00   0.36830521E-10   0.12833482E-12   0.28969968E-03   0.72310946E-28   0.79248742E+00   0.18134773E-03   0.20704154E+00   0.36283330E-14   0.19942195E-14   0.20496205E-20   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.97441129E-10   0.00000000E+00   0.11003437E-22   0.32111775E-23   0.16599488E-15   0.19779706E-15   0.82405445E-24   0.32687193E+03   0.71077583E+03   0.25672294E+00   0.24196366E+05   0.34528296E+06   0.48115381E-06  -0.17478247E-03   0.21066982E+02
  0.40000361E+00   0.53680860E-10   0.16574441E-12   0.38495447E-03   0.10355791E-27   0.79241501E+00   0.24112599E-03   0.20695891E+00   0.42702713E-14   0.23222002E-14   0.23228537E-20   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.12480950E-09   0.00000000E+00   0.13927651E-22   0.68207946E-24   0.19567998E-15   0.23347501E-15   0.00000000E+00   0.33813238E+03   0.72839472E+03   0.24818822E+00   0.24198931E+05   0.35895740E+06   0.85022539E-06  -0.31413414E-03   0.28019246E+02
  0.40000470E+00   0.73380123E-10   0.20277964E-12   0.47985803E-03   0.92430376E-28   0.79234294E+00   0.30075962E-03   0.20687644E+00   0.48558998E-14   0.26152743E-14   0.34531716E-20   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.15022364E-09   0.22659977E-24   0.10003971E-22   0.89600915E-25   0.23236793E-15   0.27670811E-15   0.27727060E-23   0.34938172E+03   0.74508424E+03   0.24015448E+00   0.24195769E+05   0.37261625E+06   0.13286266E-05  -0.49900311E-03   0.34958391E+02
  0.40000582E+00   0.96167351E-10   0.23974280E-12   0.57454646E-03   0.54319162E-27   0.79227110E+00   0.36033015E-03   0.20679402E+00   0.54022636E-14   0.28838626E-14   0.46087187E-20   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.17413156E-09   0.19518163E-24   0.16026981E-22   0.00000000E+00   0.25821061E-15   0.30803878E-15   0.57422057E-23   0.36063450E+03   0.76099914E+03   0.23267045E+00   0.24197882E+05   0.38627617E+06   0.19243324E-05  -0.73430491E-03   0.41893320E+02
  0.40000697E+00   0.12202079E-09   0.27688744E-12   0.66916281E-03   0.32909551E-26   0.79219937E+00   0.41992312E-03   0.20671154E+00   0.59193775E-14   0.31342547E-14   0.55953761E-20   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.19722280E-09   0.20331558E-24   0.14528743E-22   0.56376126E-24   0.29216630E-15   0.34776005E-15   0.82341427E-23   0.37190548E+03   0.77626302E+03   0.22558439E+00   0.24195286E+05   0.39995739E+06   0.26342279E-05  -0.10208098E-02   0.48833043E+02
  0.40000814E+00   0.15063230E-09   0.31441126E-12   0.76374472E-03   0.19786173E-25   0.79212773E+00   0.47956285E-03   0.20662896E+00   0.64140685E-14   0.33703159E-14   0.74923986E-20   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.22013868E-09   0.50910717E-24   0.10266824E-22   0.11095753E-24   0.32488000E-15   0.38700981E-15   0.13154937E-22   0.38319946E+03   0.79096317E+03   0.21894160E+00   0.24197061E+05   0.41366375E+06   0.34704367E-05  -0.13651622E-02   0.55780349E+02
  0.40000935E+00   0.18141582E-09   0.35250497E-12   0.85832135E-03   0.91875037E-25   0.79205616E+00   0.53926873E-03   0.20654625E+00   0.68911084E-14   0.35947265E-14   0.89764615E-20   0.20510508E-23   0.48856565E-25   0.00000000E+00   0.24350446E-09   0.12811280E-24   0.15234475E-22   0.00000000E+00   0.36548693E-15   0.43460742E-15   0.15888919E-22   0.39452032E+03   0.80517009E+03   0.21262991E+00   0.24194880E+05   0.42740184E+06   0.44261285E-05  -0.17666841E-02   0.62737441E+02
  0.40001058E+00   0.21372210E-09   0.39137549E-12   0.95295690E-03   0.45181018E-24   0.79198461E+00   0.59908011E-03   0.20646335E+00   0.73538595E-14   0.38095355E-14   0.11004693E-19   0.11082978E-22   0.33887320E-24   0.00000000E+00   0.26774802E-09   0.52203257E-24   0.16664838E-22   0.00000000E+00   0.40982911E-15   0.48711184E-15   0.17043490E-22   0.40587533E+03   0.81894646E+03   0.20668454E+00   0.24196396E+05   0.44117871E+06   0.55181337E-05  -0.22340930E-02   0.69708621E+02
  0.40001184E+00   0.24695187E-09   0.43125368E-12   0.10477529E-02   0.21525310E-23   0.79191300E+00   0.65905768E-03   0.20638019E+00   0.78047395E-14   0.40163950E-14   0.13412335E-19   0.35491621E-22   0.80197778E-24   0.48225508E-23   0.29312773E-09   0.64420233E-24   0.24491722E-22   0.00000000E+00   0.45996685E-15   0.54600495E-15   0.13351478E-22   0.41727512E+03   0.83234923E+03   0.20101323E+00   0.24194548E+05   0.45500894E+06   0.67355143E-05  -0.27650770E-02   0.76700244E+02
  0.40001314E+00   0.28063853E-09   0.47236919E-12   0.11427690E-02   0.78568839E-23   0.79184128E+00   0.71923798E-03   0.20629672E+00   0.82457135E-14   0.42165171E-14   0.16061186E-19   0.12166681E-21   0.10953484E-20   0.46284356E-23   0.31968377E-09   0.25563604E-24   0.31543835E-22   0.00000000E+00   0.51375381E-15   0.60926418E-15   0.15233275E-22   0.42872634E+03   0.84542304E+03   0.19564562E+00   0.24195862E+05   0.46890001E+06   0.81002720E-05  -0.33707572E-02   0.83716195E+02
  0.40001447E+00   0.31445088E-09   0.51495417E-12   0.12380241E-02   0.28535573E-22   0.79176944E+00   0.77963449E-03   0.20621290E+00   0.86784483E-14   0.44107908E-14   0.19225552E-19   0.00000000E+00   0.25480565E-23   0.12950303E-23   0.34732264E-09   0.00000000E+00   0.19963083E-22   0.15786573E-24   0.57040826E-15   0.67576996E-15   0.14891475E-22   0.44023183E+03   0.85820203E+03   0.19051086E+00   0.24194266E+05   0.48285502E+06   0.95968941E-05  -0.40468938E-02   0.90757986E+02
  0.40001583E+00   0.34820015E-09   0.55926351E-12   0.13335443E-02   0.97693105E-22   0.79169746E+00   0.84026446E-03   0.20612873E+00   0.91042790E-14   0.45999558E-14   0.22282602E-19   0.14662825E-23   0.14713009E-23   0.21286578E-23   0.37589408E-09   0.22418222E-24   0.25333208E-22   0.64884730E-24   0.62873991E-15   0.74419850E-15   0.15948133E-22   0.45179509E+03   0.87071666E+03   0.18563493E+00   0.24195411E+05   0.49687864E+06   0.11252791E-04  -0.48072203E-02   0.97827532E+02
  0.40001723E+00   0.38182001E-09   0.60559896E-12   0.14294065E-02   0.30980797E-21   0.79162529E+00   0.90117414E-03   0.20604413E+00   0.95241927E-14   0.47847273E-14   0.25120681E-19   0.15400641E-23   0.74961514E-24   0.10694901E-23   0.40526454E-09   0.58399124E-24   0.23721695E-22   0.69531092E-24   0.68801540E-15   0.81367979E-15   0.18589385E-22   0.46342434E+03   0.88299878E+03   0.18095764E+00   0.24194027E+05   0.51098135E+06   0.13047770E-04  -0.56454870E-02   0.10492962E+03
